T(K),C(F),f(Hz)
-2,5.74815E-09,0
-1.95,5.5568E-09,0
-1.9,5.47793E-09,0
-1.85,5.58196E-09,0
-1.8,5.58473E-09,0
-1.75,5.61082E-09,0
-1.7,5.57646E-09,0
-1.65,5.62848E-09,0
-1.6,5.55923E-09,0
-1.55,5.67641E-09,0
-1.5,5.75127E-09,0
-1.45,5.75245E-09,0
-1.4,5.73374E-09,0
-1.35,5.78212E-09,0
-1.3,5.82687E-09,0
-1.25,5.85324E-09,0
-1.2,5.85797E-09,0
-1.15,5.88165E-09,0
-1.1,5.9113E-09,0
-1.05,5.93968E-09,0
-1,5.95147E-09,0
-0.95,5.98466E-09,0
-0.9,6.02334E-09,0
-0.85,6.0659E-09,0
-0.8,6.08408E-09,0
-0.75,6.14498E-09,0
-0.7,6.15251E-09,0
-0.65,6.21539E-09,0
-0.6,6.25267E-09,0
-0.55,6.28744E-09,0
-0.5,6.33102E-09,0
-0.45,6.37991E-09,0
-0.4,6.4431E-09,0
-0.35,6.51141E-09,0
-0.3,6.58263E-09,0
-0.25,6.67201E-09,0
-0.2,6.77501E-09,0
-0.15,6.90663E-09,0
-0.1,7.06372E-09,0
-0.05,7.28968E-09,0
1.20737E-15,7.61543E-09,0
0.05,8.07227E-09,0
0.1,8.77984E-09,0
0.15,1.01296E-08,0
0.2,1.26837E-08,0
0.25,1.64559E-08,0
0.3,1.95691E-08,0
0.35,2.049E-08,0
0.4,2.0389E-08,0
0.45,1.82088E-08,0
0.5,1.5191E-08,0
